target_no2,temperature,pct_11240,pct_12100,pct_21000,pct_23000,pct_50000,pct_11100,pct_11220,pct_11230,pct_12220,pct_13300,pct_13400,pct_14100,pct_14200,pct_11210,pct_12230,pct_31000,pct_11300,pct_32000,pct_12210,pct_24000,pct_12400,pct_13100,pct_40000,pct_33000
10.121178,21.72,0.0,51.06,22.41,11.2,0.0,0.0,0.0,0.0,3.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,0.0,0.0,0.0,9.73,0.0,0.0,0.0
10.121178,21.72,0.0,48.21,43.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58,4.78,0.0,0.0
8.93327,21.72,0.0,7.99,77.23,11.2,0.73,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.66,0.0,0.0,0.0
7.821057,21.72,1.19,6.24,19.01,13.68,1.65,27.18,0.92,0.0,0.37,0.0,0.92,0.0,0.0,1.1,0.0,0.0,1.01,0.0,0.0,0.0,26.72,0.0,0.0,0.0
7.821057,21.72,0.46,0.0,18.09,8.82,0.0,22.5,2.02,0.73,0.18,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,45.82,0.0,0.0,0.0
7.821057,21.72,0.83,1.1,35.26,11.57,0.0,21.3,3.31,0.0,0.0,0.0,0.28,0.0,0.0,1.74,0.0,0.0,0.0,0.0,0.0,0.0,24.61,0.0,0.0,0.0
7.821057,21.72,2.66,2.48,5.79,0.0,0.0,79.89,1.29,1.38,0.0,0.0,3.21,1.74,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.821057,21.72,0.0,0.0,0.92,50.69,0.0,48.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.821057,21.72,0.0,0.0,0.92,97.7,0.0,0.64,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0
7.821057,21.72,0.0,0.0,8.54,83.2,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.64,1.29,0.0,6.24,0.0,0.0,0.0,0.0,0.0
7.821057,21.72,0.0,0.0,4.96,16.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.821057,21.72,0.0,1.19,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.821057,21.72,0.0,0.0,14.6,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.18,74.38,0.0,0.64,0.0,9.27,0.0,0.0,0.0,0.0
7.398912,21.72,0.0,35.17,45.64,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.83,0.0,0.0,0.37,7.35,0.0,9.73,0.0,0.0,0.0,0.0,0.0,0.0
6.269406,21.72,0.0,40.22,59.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
